problem,variant,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,final_rL2_mean,final_rL2_std,final_rL2,structured_rL2_mean,structured_rL2_std,structured_rL2,compression_ratio_mean,compression_ratio_std,compression_ratio,coverage95_mean,coverage95_std,coverage95,error_std_corr_mean,error_std_corr_std,error_std_corr,sensitivity_parameter,sensitivity_value
burgers_inverse,accuracy_ratio_1p5,Burgers inverse,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,accuracy_ratio,1.5
burgers_inverse,clustering_threshold_0p03,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.01089692562285212,0.00043337644906601145,0.0109 +/- 4.334e-04,0.010958391135143759,0.0004120442255455842,0.0110 +/- 4.120e-04,2.308411126011866,0.11244705310726073,2.3084 +/- 0.1124,0.9622571428571428,0.006660422245608393,0.9623 +/- 6.660e-03,0.47111682614786127,0.059075712410012325,0.4711 +/- 0.0591,,
burgers_inverse,clustering_threshold_0p05,Burgers inverse,5,unified_blind_protocol_v1,dense_student:2; structured:3,0.6,0.6000,0.01088727725870006,0.00026128649505963863,0.0109 +/- 2.613e-04,0.010997629284781141,0.00020973316718876138,0.0110 +/- 2.097e-04,2.7606823481927116,0.14115976489593088,2.7607 +/- 0.1412,0.9611142857142857,0.004622924244612705,0.9611 +/- 4.623e-03,0.47605336876879234,0.020358506532343792,0.4761 +/- 0.0204,,
burgers_inverse,clustering_threshold_0p08,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.0109065116348302,0.0004592775169165862,0.0109 +/- 4.593e-04,0.01094229020884028,0.00045431525898457923,0.0109 +/- 4.543e-04,3.2524369160473148,0.17038505378164318,3.2524 +/- 0.1704,0.9588571428571427,0.007317159033841607,0.9589 +/- 7.317e-03,0.4580488943086558,0.022304978483193946,0.4580 +/- 0.0223,,
burgers_inverse,clustering_threshold_0p10,Burgers inverse,5,unified_blind_protocol_v1,dense_student:3; structured:2,0.4,0.4000,0.01089095512993052,0.000439338360409139,0.0109 +/- 4.393e-04,0.01105257425868404,0.0002904125237395042,0.0111 +/- 2.904e-04,3.515690132365138,0.17197015330693033,3.5157 +/- 0.1720,0.9635428571428571,0.007573719330011935,0.9635 +/- 7.574e-03,0.47237322637270174,0.04003905836333158,0.4724 +/- 0.0400,,
burgers_inverse,clustering_threshold_0p15,Burgers inverse,5,unified_blind_protocol_v1,dense_student:2; structured:3,0.6,0.6000,0.01084622094427522,0.00037285156635319047,0.0108 +/- 3.729e-04,0.01098650566409518,0.0002472147879951807,0.0110 +/- 2.472e-04,4.032056556862428,0.19301373923677748,4.0321 +/- 0.1930,0.9647428571428571,0.007824216724180082,0.9647 +/- 7.824e-03,0.43040319494056634,0.07047116783872319,0.4304 +/- 0.0705,,
burgers_inverse,clustering_threshold_0p20,Burgers inverse,5,unified_blind_protocol_v1,dense_student:2; structured:3,0.6,0.6000,0.010630405414094561,0.00031527008475817236,0.0106 +/- 3.153e-04,0.0107198913916808,0.00026920903460475,0.0107 +/- 2.692e-04,4.40045932842879,0.21520879891963304,4.4005 +/- 0.2152,0.9603714285714287,0.01509378842370566,0.9604 +/- 0.0151,0.42082309598373574,0.07919416661197047,0.4208 +/- 0.0792,,
burgers_inverse,minimum_compression_1p0,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,minimum_compression,1.0
burgers_inverse,minimum_compression_1p1,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,minimum_compression,1.1
burgers_inverse,minimum_compression_1p5,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,minimum_compression,1.5
burgers_inverse,minimum_compression_2p0,Burgers inverse,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,minimum_compression,2.0
